cpu_score,gpu_score,ram_gb,ssd_nvme,label
21943,20429,128,1,2
36465,19262,64,1,2
18296,29085,16,1,0
5823,2495,16,1,1
12325,2840,64,1,1
29949,18503,128,1,2
9735,1266,16,1,1
43937,18935,64,1,2
4285,2782,32,1,1
22643,19727,32,1,2
9492,2624,64,1,1
11871,31045,8,1,0
17655,30843,32,1,0
25409,28565,16,1,0
47052,37044,64,1,2
22028,31681,64,1,2
10016,22059,16,1,0
8756,2894,32,1,1
21015,30810,32,1,0
27047,28254,32,1,0
29565,39560,128,1,2
9592,1697,32,1,1
22422,26366,64,1,2
12017,1499,64,1,1
38857,34241,64,1,2
43800,22796,128,1,2
45869,17314,128,1,2
47487,38880,128,1,2
14621,446,64,1,1
44847,23177,64,1,2
12502,34778,16,1,0
18235,37136,8,1,0
11671,39400,32,1,0
20201,27819,64,1,2
7344,1100,16,1,1
11794,1229,32,1,1
27854,27307,16,1,0
8609,545,32,1,1
6800,1192,32,1,1
8452,14375,16,1,0
8025,1787,32,1,1
24280,25739,64,1,2
14593,37556,16,1,0
12121,689,64,1,1
9949,2750,16,1,1
8152,1079,32,1,1
12331,25279,16,1,0
25355,34368,128,1,2
37062,26746,128,1,2
33745,32159,64,1,2
36894,26939,32,1,2
14253,33420,32,1,0
22830,39051,16,1,0
26509,13859,16,1,0
21031,12441,32,1,0
47597,21612,128,1,2
9605,32407,16,1,0
20255,23970,16,1,0
25373,23415,64,1,2
7453,2964,64,1,1
5548,2783,32,1,1
38843,30596,32,1,2
14953,2368,16,1,1
39150,18444,64,1,2
29825,23654,128,1,2
9993,18202,8,1,0
7630,2779,16,1,1
9384,26903,32,1,0
15002,18036,32,1,0
14091,911,16,1,1
13157,2964,32,1,1
25259,12285,16,1,0
44245,34354,128,1,2
29952,36256,32,1,0
47471,17011,128,1,2
24858,28570,16,1,0
19066,28115,8,1,0
23497,20282,8,1,0
18261,27143,32,1,0
48751,27101,32,1,2
47026,15109,32,1,2
4467,2194,32,1,1
12601,1971,64,1,1
21537,35724,128,1,2
4531,1294,64,1,1
46719,38748,32,1,2
14353,1172,32,1,1
17365,38894,16,1,0
17043,33758,8,1,0
11196,1188,16,1,1
8441,23062,16,1,0
20918,28853,16,1,0
48561,35191,32,1,2
19298,28770,32,1,0
21245,38516,128,1,2
34566,15884,128,1,2
25287,24674,32,1,0
9615,2289,32,1,1
14464,1257,16,1,1
48634,19644,64,1,2
33378,21512,64,1,2
20234,38747,32,1,2
19802,15888,16,1,0
17731,33996,8,1,0
9345,2650,32,1,1
26274,34585,16,1,0
29621,18719,128,1,2
12642,1453,16,1,1
29874,23509,32,1,0
14280,1044,32,1,1
38376,37993,32,1,2
32601,17241,64,1,2
27886,20340,32,1,0
16530,12854,8,1,0
35149,22338,32,1,2
42421,36935,128,1,2
35602,35093,128,1,2
41389,25494,32,1,2
12329,1571,64,1,1
13457,1965,32,1,1
47274,27673,32,1,2
16288,39748,16,1,0
40452,36589,32,1,2
48440,32826,64,1,2
22356,16978,128,1,2
16593,13040,16,1,0
17264,30417,16,1,0
40245,29600,64,1,2
7893,858,16,1,1
15395,28133,32,1,0
10611,18788,32,1,0
4144,1423,64,1,1
15780,24505,32,1,0
21233,14806,8,1,0
47994,21057,128,1,2
12197,397,16,1,1
46970,20462,128,1,2
8000,323,32,1,1
33244,15508,32,1,2
13301,25865,32,1,0
14692,905,64,1,1
23310,28315,32,1,2
27996,27410,32,1,0
14123,14436,8,1,0
27836,24104,64,1,2
40823,15045,128,1,2
26249,38290,8,1,0
24663,28376,64,1,2
33823,27526,64,1,2
9370,31010,32,1,0
11919,2369,16,1,1
39008,39654,64,1,2
21505,19540,32,1,2
4720,1392,16,1,1
7493,1553,64,1,1
27186,33066,32,1,2
21699,28585,32,1,0
49683,17222,64,1,2
5288,918,16,1,1
30128,24011,32,1,2
11128,39628,32,1,0
10353,13258,8,1,0
28656,21639,16,1,0
15157,22408,32,1,0
8985,2714,64,1,1
42402,18236,128,1,2
21715,17176,32,1,0
18431,15591,32,1,0
39248,37119,64,1,2
22676,29911,64,1,2
17790,21932,16,1,0
12964,1818,32,1,1
8482,2000,32,1,1
25411,38413,16,1,0
25519,29764,16,1,0
12408,2616,64,1,1
12888,25318,16,1,0
38770,28504,128,1,2
21693,31336,16,1,0
11414,1538,16,1,1
4036,2784,64,1,1
13401,582,64,1,1
47386,35053,32,1,2
29401,21876,32,1,0
48410,28287,128,1,2
29310,22961,64,1,2
41949,17319,128,1,2
6524,2483,32,1,1
31865,16660,128,1,2
28082,24941,32,1,0
20041,28698,16,1,0
5196,933,32,1,1
23793,38539,64,1,2
6211,488,32,1,1
23624,19951,8,1,0
5961,351,32,1,1
20972,27525,32,1,0
9531,581,16,1,1
13367,15884,32,1,0
7186,1284,64,1,1
46348,29287,32,1,2
30914,15676,64,1,2
11128,986,16,1,1
37983,21131,32,1,2
40111,38690,128,1,2
39542,37148,64,1,2
34235,32217,64,1,2
45200,30250,128,1,2
9800,1411,32,1,1
35240,37993,128,1,2
26780,37515,128,1,2
36146,22029,32,1,2
26376,16262,64,1,2
8491,29815,16,1,0
13072,576,16,1,1
9304,2743,64,1,1
16318,31044,16,1,0
49674,15024,32,1,2
26356,37545,32,1,0
18781,23806,16,1,0
6016,535,32,1,1
12458,21985,8,1,0
10235,35277,16,1,0
31123,30897,32,1,2
42421,28264,32,1,2
8568,2654,64,1,1
17043,23227,32,1,0
47722,26984,32,1,2
6339,1755,32,1,1
12622,2364,32,1,1
47478,25483,64,1,2
36428,29530,64,1,2
5155,2194,64,1,1
40439,16696,32,1,2
20569,23821,8,1,0
25516,21155,8,1,0
23676,22585,128,1,2
43944,19253,128,1,2
9349,35180,16,1,0
31927,28972,128,1,2
6833,314,32,1,1
21316,29769,32,1,0
12949,2755,64,1,1
13975,1891,16,1,1
26993,30652,64,1,2
33356,31336,64,1,2
39589,33227,128,1,2
26519,35616,128,1,2
24842,25891,64,1,2
8736,518,64,1,1
7765,1624,16,1,1
5618,2480,16,1,1
14536,17051,8,1,0
32724,33957,64,1,2
11413,1094,32,1,1
45900,32516,32,1,2
8323,34424,32,1,0
14880,27316,32,1,0
10513,1987,64,1,1
14344,2616,32,1,1
34098,24337,64,1,2
14653,2028,32,1,1
11165,1690,32,1,1
9736,1010,32,1,1
33010,17148,128,1,2
9249,20892,32,1,0
24059,14535,32,1,0
11943,14938,16,1,0
8340,2406,32,1,1
22570,31776,32,1,2
23000,16746,32,1,2
11838,36740,16,1,0
13134,14317,8,1,0
28348,37629,32,1,2
37763,22516,64,1,2
37258,37605,64,1,2
25668,24952,32,1,0
32346,36848,32,1,2
22119,13911,16,1,0
14956,35432,16,1,0
40130,22958,128,1,2
45602,27661,64,1,2
4673,2822,32,1,1
15205,15219,8,1,0
42759,20495,32,1,2
22919,34944,32,1,0
8510,2326,64,1,1
7923,2062,64,1,1
11149,2795,16,1,1
9294,1272,64,1,1
9064,15286,32,1,0
18591,27272,16,1,0
9889,638,32,1,1
47701,23589,64,1,2
20533,17714,128,1,2
32720,16719,128,1,2
19045,24927,16,1,0
40125,29614,32,1,2
31162,24078,32,1,2
44005,33189,32,1,2
24999,39615,8,1,0
45261,25405,32,1,2
7484,657,16,1,1
14921,2088,32,1,1
6395,1427,32,1,1
12834,2017,64,1,1
32825,34119,32,1,2
35423,21143,128,1,2
10630,348,16,1,1
17980,19767,8,1,0
45984,20170,128,1,2
7755,2065,16,1,1
21807,14158,8,1,0
10541,590,32,1,1
9783,2344,32,1,1
16519,16026,32,1,0
13600,1473,32,1,1
4556,1313,16,1,1
22065,38088,8,1,0
42886,23987,32,1,2
11019,2082,16,1,1
30290,18154,64,1,2
13742,741,64,1,1
4312,2656,32,1,1
24866,17541,64,1,2
9282,920,32,1,1
16794,22925,32,1,0
10154,1738,16,1,1
6573,2679,64,1,1
14968,21204,8,1,0
28041,27857,32,1,2
24119,27521,128,1,2
6441,1202,64,1,1
13584,1966,32,1,1
37987,16797,32,1,2
5770,1602,64,1,1
40000,30014,32,1,2
20178,25599,8,1,0
7899,763,32,1,1
12952,2444,16,1,1
23167,24612,16,1,0
21473,16467,32,1,0
35377,30552,64,1,2
4333,1834,32,1,1
18081,15890,8,1,0
43167,25285,128,1,2
24702,37476,32,1,2
5052,1413,16,1,1
32686,18734,128,1,2
43699,17000,64,1,2
6079,2558,32,1,1
34960,22960,32,1,2
38217,38310,32,1,2
24335,20338,32,1,0
44399,22063,64,1,2
48854,31316,128,1,2
21984,19772,32,1,0
14586,16893,32,1,0
28976,19304,64,1,2
9708,22995,8,1,0
9837,1202,64,1,1
29405,25847,128,1,2
20585,36723,64,1,2
29181,34463,32,1,0
35672,16109,32,1,2
12739,1797,64,1,1
25321,29661,128,1,2
15706,21915,8,1,0
9694,19545,8,1,0
33942,39247,32,1,2
45284,28690,64,1,2
21256,32681,32,1,2
24930,21301,32,1,0
28784,36938,64,1,2
30563,30193,128,1,2
11318,2083,16,1,1
14463,2278,64,1,1
22816,31642,8,1,0
8694,2977,32,1,1
17137,29969,16,1,0
8661,36214,32,1,0
18715,21626,16,1,0
14948,1489,32,1,1
7409,1363,16,1,1
25166,28284,128,1,2
8352,1303,16,1,1
9544,2153,16,1,1
15519,37944,32,1,0
4157,1533,32,1,1
29709,33969,128,1,2
12722,1056,64,1,1
29312,13220,32,1,0
39143,38869,32,1,2
30708,27163,128,1,2
48634,16784,128,1,2
26638,13673,32,1,0
4374,904,64,1,1
10317,2016,32,1,1
23462,39809,64,1,2
39932,19003,64,1,2
29707,36858,16,1,0
5203,2137,32,1,1
37861,39371,128,1,2
35021,22058,64,1,2
11216,31229,16,1,0
42090,16507,32,1,2
26046,26643,32,1,0
24512,32628,16,1,0
9891,954,64,1,1
5588,737,16,1,1
16273,28863,16,1,0
38352,16530,32,1,2
13402,22448,16,1,0
38913,18544,128,1,2
33791,28491,64,1,2
5247,1402,16,1,1
30118,33404,128,1,2
36002,16713,64,1,2
4940,2103,16,1,1
5950,1238,16,1,1
9325,24208,32,1,0
14272,1075,32,1,1
10556,504,64,1,1
30371,30810,64,1,2
26093,35518,8,1,0
36227,16768,32,1,2
24645,33745,32,1,2
8891,1921,32,1,1
19372,30228,8,1,0
10410,22748,8,1,0
25893,28108,32,1,2
20184,21599,64,1,2
6789,2405,32,1,1
16249,22116,8,1,0
11772,2669,16,1,1
26830,29536,16,1,0
24080,28432,64,1,2
37583,17216,64,1,2
8576,1506,64,1,1
20609,38734,16,1,0
6404,1637,32,1,1
19229,19634,16,1,0
26218,24933,8,1,0
29530,23619,64,1,2
20531,21139,32,1,2
6635,2164,32,1,1
35348,27635,128,1,2
44831,25779,128,1,2
7491,623,16,1,1
5878,782,16,1,1
6212,2469,16,1,1
12147,2804,32,1,1
32263,16675,128,1,2
10717,2213,16,1,1
44278,15799,64,1,2
7006,2826,64,1,1
13690,31733,8,1,0
15568,15707,8,1,0
12081,2451,64,1,1
12134,1808,32,1,1
6279,477,32,1,1
15801,24350,8,1,0
22391,20433,16,1,0
5279,2616,64,1,1
23486,16678,32,1,0
8738,27517,32,1,0
37384,32091,128,1,2
25523,17951,128,1,2
26216,34379,32,1,0
22052,35407,16,1,0
11583,2401,32,1,1
49242,21727,64,1,2
25659,15493,32,1,2
20431,27299,16,1,0
27237,27737,32,1,0
5205,362,16,1,1
45390,28977,32,1,2
14701,1725,16,1,1
4804,622,32,1,1
26771,23913,32,1,0
29141,20483,128,1,2
4845,444,64,1,1
25219,19706,64,1,2
23216,37883,8,1,0
14984,13979,32,1,0
26245,37842,16,1,0
7778,1371,64,1,1
10973,734,32,1,1
20077,36371,32,1,0
14460,21412,8,1,0
20186,35382,16,1,0
13626,15560,16,1,0
20298,29887,8,1,0
8478,1140,16,1,1
5228,788,64,1,1
28833,19881,8,1,0
4010,458,32,1,1
12318,1205,32,1,1
8857,1812,32,1,1
10735,550,64,1,1
11026,15954,8,1,0
13494,2186,32,1,1
29161,27949,32,1,0
38018,35438,64,1,2
7920,618,32,1,1
24268,26072,32,1,0
11664,1857,64,1,1
6676,385,32,1,1
8944,36117,32,1,0
12385,2556,32,1,1
5636,2006,16,1,1
23212,24935,16,1,0
49871,39322,128,1,2
24909,38662,64,1,2
39823,17554,128,1,2
9626,411,32,1,1
48210,18538,128,1,2
6627,922,32,1,1
24556,34507,8,1,0
14965,1815,32,1,1
18193,20765,16,1,0
7480,1276,32,1,1
29794,30266,32,1,0
7889,1257,64,1,1
7866,1475,32,1,1
25418,22689,16,1,0
7332,1959,16,1,1
34292,28979,128,1,2
20978,17123,16,1,0
45311,37706,32,1,2
21572,28599,32,1,2
14320,22794,32,1,0
29038,35158,32,1,0
4034,2996,16,1,1
27827,32544,16,1,0
26528,36272,8,1,0
10582,1597,64,1,1
13903,2669,32,1,1
10256,2830,16,1,1
13533,955,64,1,1
14956,2924,64,1,1
45680,22991,64,1,2
5495,2312,64,1,1
23815,24622,8,1,0
10051,17464,8,1,0
37404,39828,128,1,2
12329,33591,8,1,0
46167,28718,128,1,2
13177,1960,16,1,1
49883,37364,32,1,2
45608,20372,128,1,2
37176,34828,64,1,2
9919,14376,8,1,0
23824,13759,32,1,0
33423,39684,64,1,2
36519,26744,64,1,2
8435,2549,16,1,1
31614,20296,32,1,2
41784,17865,128,1,2
10367,2809,64,1,1
4744,1437,32,1,1
49642,23674,64,1,2
9503,36182,16,1,0
47129,27502,32,1,2
14138,2212,16,1,1
36887,30962,128,1,2
10882,26914,32,1,0
20859,29862,16,1,0
36850,39801,64,1,2
19775,24656,32,1,0
15791,32868,32,1,0
24428,26304,64,1,2
14432,492,32,1,1
7067,2900,32,1,1
22231,12696,8,1,0
5517,471,64,1,1
48193,19623,32,1,2
5377,1358,16,1,1
43033,32713,32,1,2
15979,31389,8,1,0
23214,26484,8,1,0
21468,15862,64,1,2
21498,30424,64,1,2
23737,33657,128,1,2
16822,25587,32,1,0
16433,32271,16,1,0
40881,22944,32,1,2
8275,678,16,1,1
4118,1572,32,1,1
23919,19103,16,1,0
9482,2390,32,1,1
13102,977,16,1,1
9196,31483,32,1,0
6440,2514,16,1,1
26944,17824,128,1,2
42727,35736,64,1,2
26023,19327,8,1,0
16644,16173,32,1,0
12757,918,32,1,1
10781,1710,64,1,1
25804,31124,128,1,2
34660,31459,128,1,2
38425,35216,32,1,2
27437,28125,64,1,2
9057,2522,64,1,1
16927,21309,32,1,0
28431,26396,16,1,0
27732,35108,128,1,2
8307,2565,32,1,1
13273,2442,64,1,1
49760,36699,64,1,2
10518,28125,16,1,0
14107,1765,64,1,1
47145,24386,64,1,2
5889,1080,32,1,1
7457,2455,64,1,1
44175,18386,128,1,2
28437,30070,64,1,2
35085,36166,128,1,2
7776,682,32,1,1
9137,986,64,1,1
36141,26471,64,1,2
38627,19472,64,1,2
13652,1036,32,1,1
19959,28734,32,1,0
14730,21638,16,1,0
12170,615,64,1,1
6099,476,64,1,1
20279,24543,8,1,0
27113,38555,16,1,0
14647,25800,16,1,0
24913,18360,32,1,2
13833,1323,64,1,1
37887,21845,32,1,2
47730,21395,32,1,2
5209,2234,16,1,1
12786,828,32,1,1
12636,17926,8,1,0
8146,38402,16,1,0
37070,19279,128,1,2
39562,22015,64,1,2
20719,21189,16,1,0
7830,1227,64,1,1
23018,30102,128,1,2
5615,1446,64,1,1
7655,940,16,1,1
12174,18882,16,1,0
25630,34606,32,1,2
15809,28797,32,1,0
41743,15133,64,1,2
26474,34027,16,1,0
10016,38025,16,1,0
14282,2495,64,1,1
4633,1543,16,1,1
22758,28102,16,1,0
9817,28953,32,1,0
5605,1074,64,1,1
9049,1829,32,1,1
10106,1641,64,1,1
22433,22190,32,1,0
34525,20824,64,1,2
14630,2001,16,1,1
31515,34510,32,1,2
29193,22617,128,1,2
34260,27884,64,1,2
41002,23292,64,1,2
21169,25883,16,1,0
10126,2878,16,1,1
45637,18391,128,1,2
9741,30659,32,1,0
41975,22551,64,1,2
8345,2815,64,1,1
9328,895,16,1,1
25993,33884,16,1,0
27860,24860,16,1,0
14537,905,32,1,1
16997,16530,8,1,0
44034,16838,64,1,2
38388,26489,64,1,2
14299,28122,8,1,0
47337,32349,32,1,2
6322,1329,32,1,1
8156,825,64,1,1
10054,39235,16,1,0
8901,2860,16,1,1
28225,32841,32,1,0
42777,19357,32,1,2
28131,24199,8,1,0
15958,20982,8,1,0
4279,2759,32,1,1
11423,350,16,1,1
20693,37858,128,1,2
8306,1770,64,1,1
28716,27260,16,1,0
4355,2233,64,1,1
16732,33772,32,1,0
40277,32361,128,1,2
27879,27570,32,1,0
9351,20912,32,1,0
41477,34203,64,1,2
34405,17070,32,1,2
10863,20078,16,1,0
24166,30770,64,1,2
20673,35752,32,1,0
7384,945,32,1,1
13848,417,32,1,1
10999,1876,64,1,1
7606,1076,64,1,1
14503,19995,8,1,0
9976,1378,32,1,1
44621,29870,128,1,2
26495,31243,8,1,0
12680,2450,64,1,1
17681,39014,8,1,0
10663,39829,32,1,0
12825,1315,32,1,1
8470,909,16,1,1
22289,34001,8,1,0
22150,26735,64,1,2
42610,25896,64,1,2
25346,18854,64,1,2
36358,26196,32,1,2
11687,20937,32,1,0
22769,15213,32,1,2
28589,24585,32,1,0
44969,31908,32,1,2
12335,2625,64,1,1
31748,29244,32,1,2
13704,961,32,1,1
13363,802,64,1,1
8545,29937,32,1,0
49311,27078,128,1,2
31529,27569,32,1,2
22558,17326,128,1,2
24968,12524,8,1,0
39580,19549,64,1,2
7811,810,64,1,1
12543,28601,32,1,0
24296,38125,16,1,0
22475,24203,32,1,0
30956,23227,64,1,2
8877,1275,32,1,1
18441,17915,16,1,0
43625,22266,64,1,2
38111,26087,128,1,2
12695,1462,64,1,1
25301,31202,128,1,2
4422,994,32,1,1
5604,1020,16,1,1
48168,18480,32,1,2
39071,17066,64,1,2
10178,33856,8,1,0
25006,28093,32,1,2
16933,25001,16,1,0
12011,1813,16,1,1
8493,1858,64,1,1
4119,2349,64,1,1
6885,2460,32,1,1
8654,14614,16,1,0
13926,39145,8,1,0
11652,29827,32,1,0
10515,1623,32,1,1
8114,1253,16,1,1
48076,16422,64,1,2
11238,1674,64,1,1
5684,2076,64,1,1
8530,17754,16,1,0
32290,15578,128,1,2
11948,1938,32,1,1
14759,2705,16,1,1
13647,1260,32,1,1
11052,824,32,1,1
20380,17569,8,1,0
42172,15416,64,1,2
32597,16510,128,1,2
13912,30110,32,1,0
21626,30446,16,1,0
22870,39425,32,1,2
22263,33125,8,1,0
22160,36163,16,1,0
11597,30032,16,1,0
10738,1304,16,1,1
22755,19418,16,1,0
11747,2306,64,1,1
37695,33608,128,1,2
9486,2370,64,1,1
7828,1227,32,1,1
5415,2279,64,1,1
8909,889,32,1,1
4906,2991,16,1,1
12958,2262,32,1,1
10867,302,64,1,1
6135,2567,64,1,1
23213,21342,32,1,2
28614,18038,16,1,0
12869,2279,64,1,1
5908,1390,16,1,1
48056,37842,128,1,2
7666,400,64,1,1
11825,32520,8,1,0
7906,1129,64,1,1
18919,18545,32,1,0
48333,26915,64,1,2
14432,1662,16,1,1
29754,28474,16,1,0
15667,32254,32,1,0
11126,24892,8,1,0
44065,39941,64,1,2
19853,19871,16,1,0
15256,27186,32,1,0
22928,25739,64,1,2
10491,2562,64,1,1
27837,19184,128,1,2
21578,15774,128,1,2
42721,21667,64,1,2
5958,2881,16,1,1
34911,35081,32,1,2
15515,31047,32,1,0
17176,15742,32,1,0
25129,21777,8,1,0
5212,1829,16,1,1
22137,23392,32,1,0
15369,22680,32,1,0
16783,26197,32,1,0
12651,2058,16,1,1
11849,19697,16,1,0
4598,2595,64,1,1
29032,39955,32,1,2
8864,20044,16,1,0
29664,29397,8,1,0
12578,1769,16,1,1
12990,2230,32,1,1
23034,23070,32,1,0
22885,25805,8,1,0
27699,22584,16,1,0
27403,17769,64,1,2
11691,39579,32,1,0
9463,2609,32,1,1
6906,809,32,1,1
13449,1242,16,1,1
27282,23769,8,1,0
14813,1573,16,1,1
4639,2416,64,1,1
9765,1894,32,1,1
16178,36348,32,1,0
48833,31831,64,1,2
12591,13875,32,1,0
30563,28768,32,1,2
9007,39849,8,1,0
29002,35920,64,1,2
13421,2652,32,1,1
15048,34756,32,1,0
5401,784,16,1,1
6284,2748,16,1,1
23918,39823,32,1,2
21760,21247,8,1,0
19795,37276,16,1,0
13837,941,16,1,1
5039,2208,32,1,1
26899,22240,64,1,2
46202,22213,32,1,2
24701,23303,8,1,0
19041,35929,8,1,0
39270,33152,32,1,2
22030,23508,128,1,2
27242,13366,16,1,0
21985,23018,8,1,0
4211,729,64,1,1
11220,16058,32,1,0
42410,31135,128,1,2
16310,30498,16,1,0
36222,23165,128,1,2
13511,2005,16,1,1
11340,16271,16,1,0
25057,29161,32,1,2
18366,27809,32,1,0
21569,39733,8,1,0
25594,35741,16,1,0
19387,14332,32,1,0
40930,20848,128,1,2
4879,447,16,1,1
8147,19145,8,1,0
33265,25432,64,1,2
33640,39314,32,1,2
12206,38380,8,1,0
12253,954,16,1,1
21994,23402,8,1,0
11267,1711,16,1,1
9003,21527,16,1,0
11197,23433,32,1,0
9287,785,32,1,1
49165,23077,64,1,2
24034,30852,64,1,2
49572,17630,32,1,2
8861,2123,32,1,1
4657,2209,32,1,1
5841,740,64,1,1
21895,15655,32,1,2
12731,14502,32,1,0
48214,19904,32,1,2
28888,15619,8,1,0
16802,22764,16,1,0
13643,34731,32,1,0
5245,399,32,1,1
11227,710,16,1,1
13890,2212,16,1,1
23604,27353,32,1,0
47621,20321,64,1,2
40445,37604,32,1,2
41103,27271,128,1,2
21346,31371,128,1,2
28912,38090,16,1,0
9699,429,64,1,1
25544,18429,64,1,2
30607,33253,128,1,2
8658,2874,32,1,1
5362,2834,64,1,1
27796,31012,64,1,2
5655,817,64,1,1
10723,1509,16,1,1
27886,30802,128,1,2
27591,37167,32,1,2
10450,37173,16,1,0
22479,20383,8,1,0
44264,21479,64,1,2
16221,15988,8,1,0
25894,39190,128,1,2
38051,22707,64,1,2
12960,15351,16,1,0
11429,1557,32,1,1
7156,2879,32,1,1
20325,28881,16,1,0
8029,2972,64,1,1
42761,25654,32,1,2
23204,22779,8,1,0
11422,28026,16,1,0
4368,2394,64,1,1
49973,25086,64,1,2
12406,2979,32,1,1
5420,2829,64,1,1
39801,23495,128,1,2
10503,21745,16,1,0
46809,39808,64,1,2
40876,24995,32,1,2
41614,24679,64,1,2
8372,12545,16,1,0
9330,19797,8,1,0
48458,17178,32,1,2
7184,474,64,1,1
13466,1442,32,1,1
28662,23852,16,1,0
9257,2884,32,1,1
10855,28280,32,1,0
13076,2209,64,1,1
19078,13899,16,1,0
5740,323,32,1,1
20994,15842,32,1,0
8161,684,64,1,1
24395,38544,128,1,2
15050,21126,32,1,0
14909,2787,64,1,1
48062,18019,128,1,2
10773,19155,8,1,0
17634,17425,8,1,0
11501,2111,32,1,1
13808,847,32,1,1
32069,25663,64,1,2
10221,1324,32,1,1
11177,1818,16,1,1
4770,1836,64,1,1
20627,18215,64,1,2
7771,1694,64,1,1
29848,19743,32,1,0
46695,23098,32,1,2
16337,12272,16,1,0
30132,36282,128,1,2
24116,36226,32,1,0
40426,15470,32,1,2
30349,28849,32,1,2
